"pid7","pid_partylean","group_colprofs","imp_schteach","votereg","education_importance","feeling_college_professors","party"
"Not very strong Republican","inapplicable, legitimate skip","31","Very important","Yes",4,31,"Republican"
"Not very strong Democrat","inapplicable, legitimate skip","65","Slightly important","Yes",2,65,"Democrat"
"Lean Republican","Closer to the Republican Party","21","Extremely important","Yes",5,21,"Republican"
"Not very strong Democrat","inapplicable, legitimate skip","86","Very important","No",4,86,"Democrat"
"Lean Republican","Closer to the Republican Party","50","Extremely important","Yes",5,50,"Republican"
"Strong Democrat","inapplicable, legitimate skip","67","Very important","Yes",4,67,"Democrat"
"Not very strong Democrat","inapplicable, legitimate skip","90","Moderately important","No",3,90,"Democrat"
"Lean Democrat","Closer to the Democratic Party","30","Very important","No",4,30,"Democrat"
"Not very strong Republican","inapplicable, legitimate skip","95","Extremely important","Yes",5,95,"Republican"
"Lean Democrat","Closer to the Democratic Party","67","Extremely important","Yes",5,67,"Democrat"
"Strong Republican","Closer to the Republican Party","68","Very important","Yes",4,68,"Republican"
"Strong Democrat","inapplicable, legitimate skip","68","Extremely important","Yes",5,68,"Democrat"
"Not very strong Democrat","inapplicable, legitimate skip","50","Not at all important","Yes",1,50,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","70","Very important","Yes",4,70,"Democrat"
"Not very strong Democrat","inapplicable, legitimate skip","65","Moderately important","Yes",3,65,"Democrat"
"Independent","Closer to the Republican Party","70","Very important","No",4,70,"Republican"
"Strong Democrat","inapplicable, legitimate skip","100","Extremely important","Yes",5,100,"Democrat"
"Not very strong Republican","inapplicable, legitimate skip","38","Extremely important","No",5,38,"Republican"
"Strong Democrat","inapplicable, legitimate skip","93","Extremely important","Yes",5,93,"Democrat"
"Lean Democrat","inapplicable, legitimate skip","100","Extremely important","Yes",5,100,"Democrat"
"Not very strong Republican","inapplicable, legitimate skip","70","Very important","Yes",4,70,"Republican"
"Lean Republican","inapplicable, legitimate skip","10","Extremely important","Yes",5,10,"Republican"
"Lean Republican","Closer to the Republican Party","65","Extremely important","No",5,65,"Republican"
"Strong Republican","inapplicable, legitimate skip","100","Extremely important","Yes",5,100,"Republican"
"Not very strong Republican","inapplicable, legitimate skip","61","Very important","No",4,61,"Republican"
"Not very strong Republican","inapplicable, legitimate skip","63","Very important","No",4,63,"Republican"
"Not very strong Republican","inapplicable, legitimate skip","85","Moderately important","Yes",3,85,"Republican"
